start_timestamp,end_timestamp,method,linear_beta,quadratic_beta,length_interval,delta_kg_L,delta_kg_Q,fluxL_kgm2sec,fluxQ_kgm2sec,fluxL_umolm2sec,fluxQ_umolm2sec
2023-10-01T00:06:30Z,2023-10-01T00:10:00Z,fluxbot,NA,NA,0,NA,NA,NA,NA,NA,NA
2023-10-01T00:36:30Z,2023-10-01T00:40:00Z,fluxbot,NA,NA,0,NA,NA,NA,NA,NA,NA
2023-10-01T01:06:30Z,2023-10-01T01:10:00Z,fluxbot,NA,NA,0,NA,NA,NA,NA,NA,NA
2023-10-01T01:36:30Z,2023-10-01T01:40:00Z,fluxbot,NA,NA,0,NA,NA,NA,NA,NA,NA
2023-10-01T02:06:30Z,2023-10-01T02:10:00Z,fluxbot,NA,NA,0,NA,NA,NA,NA,NA,NA
2023-10-01T02:36:30Z,2023-10-01T02:40:00Z,fluxbot,NA,NA,0,NA,NA,NA,NA,NA,NA
2023-10-01T03:06:30Z,2023-10-01T03:10:00Z,fluxbot,NA,NA,0,NA,NA,NA,NA,NA,NA
2023-10-01T03:36:30Z,2023-10-01T03:40:00Z,fluxbot,NA,NA,0,NA,NA,NA,NA,NA,NA
2023-10-01T04:06:30Z,2023-10-01T04:10:00Z,fluxbot,NA,NA,0,NA,NA,NA,NA,NA,NA
2023-10-01T04:36:30Z,2023-10-01T04:40:00Z,fluxbot,NA,NA,0,NA,NA,NA,NA,NA,NA
2023-10-01T05:06:30Z,2023-10-01T05:10:00Z,fluxbot,NA,NA,0,NA,NA,NA,NA,NA,NA
2023-10-01T05:36:30Z,2023-10-01T05:40:00Z,fluxbot,NA,NA,0,NA,NA,NA,NA,NA,NA
2023-10-01T06:06:30Z,2023-10-01T06:10:00Z,fluxbot,NA,NA,0,NA,NA,NA,NA,NA,NA
2023-10-01T06:36:30Z,2023-10-01T06:40:00Z,fluxbot,NA,NA,0,NA,NA,NA,NA,NA,NA
2023-10-01T07:06:30Z,2023-10-01T07:10:00Z,fluxbot,NA,NA,0,NA,NA,NA,NA,NA,NA
2023-10-01T07:36:30Z,2023-10-01T07:40:00Z,fluxbot,NA,NA,0,NA,NA,NA,NA,NA,NA
2023-10-01T08:06:30Z,2023-10-01T08:10:00Z,fluxbot,NA,NA,0,NA,NA,NA,NA,NA,NA
2023-10-01T08:36:30Z,2023-10-01T08:40:00Z,fluxbot,NA,NA,0,NA,NA,NA,NA,NA,NA
2023-10-01T09:06:30Z,2023-10-01T09:10:00Z,fluxbot,NA,NA,0,NA,NA,NA,NA,NA,NA
2023-10-01T09:36:30Z,2023-10-01T09:40:00Z,fluxbot,NA,NA,0,NA,NA,NA,NA,NA,NA
2023-10-01T10:06:30Z,2023-10-01T10:10:00Z,fluxbot,NA,NA,0,NA,NA,NA,NA,NA,NA
2023-10-01T10:36:30Z,2023-10-01T10:40:00Z,fluxbot,NA,NA,0,NA,NA,NA,NA,NA,NA
2023-10-01T11:06:30Z,2023-10-01T11:10:00Z,fluxbot,NA,NA,0,NA,NA,NA,NA,NA,NA
2023-10-01T11:36:30Z,2023-10-01T11:40:00Z,fluxbot,NA,NA,0,NA,NA,NA,NA,NA,NA
2023-10-01T12:06:30Z,2023-10-01T12:10:00Z,fluxbot,NA,NA,0,NA,NA,NA,NA,NA,NA
2023-10-01T12:36:30Z,2023-10-01T12:40:00Z,fluxbot,NA,NA,0,NA,NA,NA,NA,NA,NA
2023-10-01T13:06:30Z,2023-10-01T13:10:00Z,fluxbot,NA,NA,0,NA,NA,NA,NA,NA,NA
2023-10-01T13:36:30Z,2023-10-01T13:40:00Z,fluxbot,NA,NA,0,NA,NA,NA,NA,NA,NA
2023-10-01T14:06:30Z,2023-10-01T14:10:00Z,fluxbot,NA,NA,0,NA,NA,NA,NA,NA,NA
2023-10-01T14:36:30Z,2023-10-01T14:40:00Z,fluxbot,NA,NA,0,NA,NA,NA,NA,NA,NA
2023-10-01T15:06:30Z,2023-10-01T15:10:00Z,fluxbot,NA,NA,0,NA,NA,NA,NA,NA,NA
2023-10-01T15:36:30Z,2023-10-01T15:40:00Z,fluxbot,NA,NA,0,NA,NA,NA,NA,NA,NA
2023-10-01T16:06:30Z,2023-10-01T16:10:00Z,fluxbot,NA,NA,0,NA,NA,NA,NA,NA,NA
2023-10-01T16:36:30Z,2023-10-01T16:40:00Z,fluxbot,NA,NA,0,NA,NA,NA,NA,NA,NA
2023-10-01T17:06:30Z,2023-10-01T17:10:00Z,fluxbot,NA,NA,0,NA,NA,NA,NA,NA,NA
2023-10-01T17:36:30Z,2023-10-01T17:40:00Z,fluxbot,NA,NA,0,NA,NA,NA,NA,NA,NA
2023-10-01T18:06:30Z,2023-10-01T18:10:00Z,fluxbot,NA,NA,0,NA,NA,NA,NA,NA,NA
2023-10-01T18:36:30Z,2023-10-01T18:40:00Z,fluxbot,NA,NA,0,NA,NA,NA,NA,NA,NA
2023-10-01T19:06:30Z,2023-10-01T19:10:00Z,fluxbot,NA,NA,0,NA,NA,NA,NA,NA,NA
2023-10-01T19:36:30Z,2023-10-01T19:40:00Z,fluxbot,NA,NA,0,NA,NA,NA,NA,NA,NA
2023-10-01T20:06:30Z,2023-10-01T20:10:00Z,fluxbot,NA,NA,0,NA,NA,NA,NA,NA,NA
2023-10-01T20:36:30Z,2023-10-01T20:40:00Z,fluxbot,NA,NA,0,NA,NA,NA,NA,NA,NA
2023-10-01T21:06:30Z,2023-10-01T21:10:00Z,fluxbot,NA,NA,0,NA,NA,NA,NA,NA,NA
2023-10-01T21:36:30Z,2023-10-01T21:40:00Z,fluxbot,NA,NA,0,NA,NA,NA,NA,NA,NA
2023-10-01T22:06:30Z,2023-10-01T22:10:00Z,fluxbot,NA,NA,0,NA,NA,NA,NA,NA,NA
2023-10-01T22:36:30Z,2023-10-01T22:40:00Z,fluxbot,NA,NA,0,NA,NA,NA,NA,NA,NA
2023-10-01T23:06:30Z,2023-10-01T23:10:00Z,fluxbot,NA,NA,0,NA,NA,NA,NA,NA,NA
2023-10-01T23:36:30Z,2023-10-01T23:40:00Z,fluxbot,NA,NA,0,NA,NA,NA,NA,NA,NA
2023-10-02T00:06:30Z,2023-10-02T00:10:00Z,fluxbot,NA,NA,0,NA,NA,NA,NA,NA,NA
2023-10-02T00:36:30Z,2023-10-02T00:40:00Z,fluxbot,NA,NA,0,NA,NA,NA,NA,NA,NA
