start_timestamp,end_timestamp,method,linear_beta,quadratic_beta,length_interval,delta_kg_L,delta_kg_Q,fluxL_kgm2sec,fluxQ_kgm2sec,fluxL_umolm2sec,fluxQ_umolm2sec
2023-10-01T00:16:30Z,2023-10-01T00:20:00Z,fluxbot,NA,NA,0,NA,NA,NA,NA,NA,NA
2023-10-01T00:46:30Z,2023-10-01T00:50:00Z,fluxbot,NA,NA,0,NA,NA,NA,NA,NA,NA
2023-10-01T01:16:30Z,2023-10-01T01:20:00Z,fluxbot,NA,NA,0,NA,NA,NA,NA,NA,NA
2023-10-01T01:46:30Z,2023-10-01T01:50:00Z,fluxbot,NA,NA,0,NA,NA,NA,NA,NA,NA
2023-10-01T02:16:30Z,2023-10-01T02:20:00Z,fluxbot,NA,NA,0,NA,NA,NA,NA,NA,NA
2023-10-01T02:46:30Z,2023-10-01T02:50:00Z,fluxbot,NA,NA,0,NA,NA,NA,NA,NA,NA
2023-10-01T03:16:30Z,2023-10-01T03:20:00Z,fluxbot,NA,NA,0,NA,NA,NA,NA,NA,NA
2023-10-01T03:46:30Z,2023-10-01T03:50:00Z,fluxbot,NA,NA,0,NA,NA,NA,NA,NA,NA
2023-10-01T04:16:30Z,2023-10-01T04:20:00Z,fluxbot,NA,NA,0,NA,NA,NA,NA,NA,NA
2023-10-01T04:46:30Z,2023-10-01T04:50:00Z,fluxbot,NA,NA,0,NA,NA,NA,NA,NA,NA
2023-10-01T05:16:30Z,2023-10-01T05:20:00Z,fluxbot,NA,NA,0,NA,NA,NA,NA,NA,NA
2023-10-01T05:46:30Z,2023-10-01T05:50:00Z,fluxbot,NA,NA,0,NA,NA,NA,NA,NA,NA
2023-10-01T06:16:30Z,2023-10-01T06:20:00Z,fluxbot,NA,NA,0,NA,NA,NA,NA,NA,NA
2023-10-01T06:46:30Z,2023-10-01T06:50:00Z,fluxbot,NA,NA,0,NA,NA,NA,NA,NA,NA
2023-10-01T07:16:30Z,2023-10-01T07:20:00Z,fluxbot,NA,NA,0,NA,NA,NA,NA,NA,NA
2023-10-01T07:46:30Z,2023-10-01T07:50:00Z,fluxbot,NA,NA,0,NA,NA,NA,NA,NA,NA
2023-10-01T08:16:30Z,2023-10-01T08:20:00Z,fluxbot,NA,NA,0,NA,NA,NA,NA,NA,NA
2023-10-01T08:46:30Z,2023-10-01T08:50:00Z,fluxbot,NA,NA,0,NA,NA,NA,NA,NA,NA
2023-10-01T09:16:30Z,2023-10-01T09:20:00Z,fluxbot,NA,NA,0,NA,NA,NA,NA,NA,NA
2023-10-01T09:46:30Z,2023-10-01T09:50:00Z,fluxbot,NA,NA,0,NA,NA,NA,NA,NA,NA
2023-10-01T10:16:30Z,2023-10-01T10:20:00Z,fluxbot,NA,NA,0,NA,NA,NA,NA,NA,NA
2023-10-01T10:46:30Z,2023-10-01T10:50:00Z,fluxbot,NA,NA,0,NA,NA,NA,NA,NA,NA
2023-10-01T11:16:30Z,2023-10-01T11:20:00Z,fluxbot,NA,NA,0,NA,NA,NA,NA,NA,NA
2023-10-01T11:46:30Z,2023-10-01T11:50:00Z,fluxbot,NA,NA,0,NA,NA,NA,NA,NA,NA
2023-10-01T12:16:30Z,2023-10-01T12:20:00Z,fluxbot,NA,NA,0,NA,NA,NA,NA,NA,NA
2023-10-01T12:46:30Z,2023-10-01T12:50:00Z,fluxbot,NA,NA,0,NA,NA,NA,NA,NA,NA
2023-10-01T13:16:30Z,2023-10-01T13:20:00Z,fluxbot,NA,NA,0,NA,NA,NA,NA,NA,NA
2023-10-01T13:46:30Z,2023-10-01T13:50:00Z,fluxbot,NA,NA,0,NA,NA,NA,NA,NA,NA
2023-10-01T14:16:30Z,2023-10-01T14:20:00Z,fluxbot,NA,NA,0,NA,NA,NA,NA,NA,NA
2023-10-01T14:46:30Z,2023-10-01T14:50:00Z,fluxbot,NA,NA,0,NA,NA,NA,NA,NA,NA
2023-10-01T15:16:30Z,2023-10-01T15:20:00Z,fluxbot,NA,NA,0,NA,NA,NA,NA,NA,NA
2023-10-01T15:46:30Z,2023-10-01T15:50:00Z,fluxbot,NA,NA,0,NA,NA,NA,NA,NA,NA
2023-10-01T16:16:30Z,2023-10-01T16:20:00Z,fluxbot,NA,NA,0,NA,NA,NA,NA,NA,NA
2023-10-01T16:46:30Z,2023-10-01T16:50:00Z,fluxbot,NA,NA,0,NA,NA,NA,NA,NA,NA
