start_timestamp,end_timestamp,method,linear_beta,quadratic_beta,length_interval,delta_kg_L,delta_kg_Q,fluxL_kgm2sec,fluxQ_kgm2sec,fluxL_umolm2sec,fluxQ_umolm2sec
2023-10-01T00:11:30Z,2023-10-01T00:15:00Z,fluxbot,NA,NA,0,NA,NA,NA,NA,NA,NA
2023-10-01T00:41:30Z,2023-10-01T00:45:00Z,fluxbot,NA,NA,0,NA,NA,NA,NA,NA,NA
2023-10-01T01:11:30Z,2023-10-01T01:15:00Z,fluxbot,NA,NA,0,NA,NA,NA,NA,NA,NA
2023-10-01T01:41:30Z,2023-10-01T01:45:00Z,fluxbot,NA,NA,0,NA,NA,NA,NA,NA,NA
2023-10-01T02:11:30Z,2023-10-01T02:15:00Z,fluxbot,NA,NA,0,NA,NA,NA,NA,NA,NA
2023-10-01T02:41:30Z,2023-10-01T02:45:00Z,fluxbot,NA,NA,0,NA,NA,NA,NA,NA,NA
2023-10-01T03:11:30Z,2023-10-01T03:15:00Z,fluxbot,NA,NA,0,NA,NA,NA,NA,NA,NA
2023-10-01T03:41:30Z,2023-10-01T03:45:00Z,fluxbot,NA,NA,0,NA,NA,NA,NA,NA,NA
2023-10-01T04:11:30Z,2023-10-01T04:15:00Z,fluxbot,NA,NA,0,NA,NA,NA,NA,NA,NA
2023-10-01T04:41:30Z,2023-10-01T04:45:00Z,fluxbot,NA,NA,0,NA,NA,NA,NA,NA,NA
2023-10-01T05:11:30Z,2023-10-01T05:15:00Z,fluxbot,NA,NA,0,NA,NA,NA,NA,NA,NA
2023-10-01T05:41:30Z,2023-10-01T05:45:00Z,fluxbot,NA,NA,0,NA,NA,NA,NA,NA,NA
2023-10-01T06:11:30Z,2023-10-01T06:15:00Z,fluxbot,NA,NA,0,NA,NA,NA,NA,NA,NA
2023-10-01T06:41:30Z,2023-10-01T06:45:00Z,fluxbot,NA,NA,0,NA,NA,NA,NA,NA,NA
